==> dp8rd2-1.log <==
vol=/root/gluster/dp8rd2, bs=1k, separately_count=1, 858112.000 Bytes/s, 0.818 MB/s, 0.818 MB/s
vol=/root/gluster/dp8rd2, bs=2k, separately_count=1, 2097152.000 Bytes/s, 2.000 MB/s, 2.000 MB/s
vol=/root/gluster/dp8rd2, bs=4k, separately_count=1, 4194304.000 Bytes/s, 4.000 MB/s, 4.000 MB/s
vol=/root/gluster/dp8rd2, bs=8k, separately_count=1, 8178892.800 Bytes/s, 7.800 MB/s, 7.800 MB/s
vol=/root/gluster/dp8rd2, bs=16k, separately_count=1, 16148070.400 Bytes/s, 15.400 MB/s, 15.400 MB/s
vol=/root/gluster/dp8rd2, bs=32k, separately_count=1, 30408704.000 Bytes/s, 29.000 MB/s, 29.000 MB/s
vol=/root/gluster/dp8rd2, bs=64k, separately_count=1, 60817408.000 Bytes/s, 58.000 MB/s, 58.000 MB/s
vol=/root/gluster/dp8rd2, bs=128k, separately_count=1, 109051904.000 Bytes/s, 104.000 MB/s, 104.000 MB/s
vol=/root/gluster/dp8rd2, bs=256k, separately_count=1, 159383552.000 Bytes/s, 152.000 MB/s, 152.000 MB/s
vol=/root/gluster/dp8rd2, bs=512k, separately_count=1, 204472320.000 Bytes/s, 195.000 MB/s, 195.000 MB/s
vol=/root/gluster/dp8rd2, bs=1M, separately_count=1, 248512512.000 Bytes/s, 237.000 MB/s, 237.000 MB/s
vol=/root/gluster/dp8rd2, bs=2M, separately_count=1, 269484032.000 Bytes/s, 257.000 MB/s, 257.000 MB/s
vol=/root/gluster/dp8rd2, bs=4M, separately_count=1, 295698432.000 Bytes/s, 282.000 MB/s, 282.000 MB/s
vol=/root/gluster/dp8rd2, bs=8M, separately_count=1, 295698432.000 Bytes/s, 282.000 MB/s, 282.000 MB/s
vol=/root/gluster/dp8rd2, bs=16M, separately_count=1, 305135616.000 Bytes/s, 291.000 MB/s, 291.000 MB/s
vol=/root/gluster/dp8rd2, bs=32M, separately_count=1, 301989888.000 Bytes/s, 288.000 MB/s, 288.000 MB/s
vol=/root/gluster/dp8rd2, bs=64M, separately_count=1, 308281344.000 Bytes/s, 294.000 MB/s, 294.000 MB/s
vol=/root/gluster/dp8rd2, bs=128M, separately_count=1, 303038464.000 Bytes/s, 289.000 MB/s, 289.000 MB/s
vol=/root/gluster/dp8rd2, bs=256M, separately_count=1, 308281344.000 Bytes/s, 294.000 MB/s, 294.000 MB/s
vol=/root/gluster/dp8rd2, bs=512M, separately_count=1, 301989888.000 Bytes/s, 288.000 MB/s, 288.000 MB/s

==> dp8rd2-8.log <==
vol=/root/gluster/dp8rd2, bs=1k, separately_count=8, 816563.200 Bytes/s, 0.779 MB/s, 6.230 MB/s
vol=/root/gluster/dp8rd2, bs=2k, separately_count=8, 1513574.400 Bytes/s, 1.443 MB/s, 11.548 MB/s
vol=/root/gluster/dp8rd2, bs=4k, separately_count=8, 3132620.800 Bytes/s, 2.987 MB/s, 23.900 MB/s
vol=/root/gluster/dp8rd2, bs=8k, separately_count=8, 6093644.800 Bytes/s, 5.811 MB/s, 46.491 MB/s
vol=/root/gluster/dp8rd2, bs=16k, separately_count=8, 12386304.000 Bytes/s, 11.812 MB/s, 94.500 MB/s
vol=/root/gluster/dp8rd2, bs=32k, separately_count=8, 23973068.800 Bytes/s, 22.863 MB/s, 182.900 MB/s
vol=/root/gluster/dp8rd2, bs=64k, separately_count=8, 46779596.800 Bytes/s, 44.612 MB/s, 356.900 MB/s
vol=/root/gluster/dp8rd2, bs=128k, separately_count=8, 92825190.400 Bytes/s, 88.525 MB/s, 708.200 MB/s
vol=/root/gluster/dp8rd2, bs=256k, separately_count=8, 136616345.600 Bytes/s, 130.287 MB/s, 1042.300 MB/s
vol=/root/gluster/dp8rd2, bs=512k, separately_count=8, 174850048.000 Bytes/s, 166.750 MB/s, 1334.000 MB/s
vol=/root/gluster/dp8rd2, bs=1M, separately_count=8, 202899456.000 Bytes/s, 193.500 MB/s, 1548.000 MB/s
vol=/root/gluster/dp8rd2, bs=2M, separately_count=8, 198049792.000 Bytes/s, 188.875 MB/s, 1511.000 MB/s
vol=/root/gluster/dp8rd2, bs=4M, separately_count=8, 195428352.000 Bytes/s, 186.375 MB/s, 1491.000 MB/s
vol=/root/gluster/dp8rd2, bs=8M, separately_count=8, 156106752.000 Bytes/s, 148.875 MB/s, 1191.000 MB/s
vol=/root/gluster/dp8rd2, bs=16M, separately_count=8, 163184640.000 Bytes/s, 155.625 MB/s, 1245.000 MB/s
